Tabela de observabilidade para a noite de 2025-09-07


--------------------------------------------------------------------------------------------------------------------------------------------------------

Unidades: RA, DEC hh mm ss.sss dd mm ss.s | EL: dd.d | Mag: mag aparente | moon_dis: dd.d | moon_lum: %


Objeto                            | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
(2003 HM57)                      	| RA, DEC 20 40 38.39 -29 13 28.2	| EL: 43.7	| Mag: 19.9	| moon_dis: 47.0	| moon_lum: 99.8


Local Time: 2025-09-08 02:00 -- UTC: 2025-09-08 05:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
617 Patroclus (A906 UL)          	| RA, DEC 03 19 05.80 +16 24 24.8	| EL: 39.2	| Mag: 15.4	| moon_dis: 60.5	| moon_lum: 99.7
1173 Anchises (1930 UB)          	| RA, DEC 01 46 12.88 +19 38 43.2	| EL: 46.6	| Mag: 16.0	| moon_dis: 40.9	| moon_lum: 99.7
2241 Alcathous (1979 WM)         	| RA, DEC 01 26 05.71 +27 58 25.1	| EL: 39.1	| Mag: 16.2	| moon_dis: 42.1	| moon_lum: 99.7
3317 Paris (1984 KF)             	| RA, DEC 04 21 56.84 -08 25 08.6	| EL: 41.1	| Mag: 16.4	| moon_dis: 73.6	| moon_lum: 99.7
2207 Antenor (1977 QH1)          	| RA, DEC 03 42 25.58 +12 42 27.3	| EL: 37.9	| Mag: 16.5	| moon_dis: 65.3	| moon_lum: 99.7
2893 Peiroos (1975 QD)           	| RA, DEC 03 03 29.18 +00 37 32.7	| EL: 53.2	| Mag: 16.6	| moon_dis: 54.3	| moon_lum: 99.7
4348 Poulydamas (1988 RU)        	| RA, DEC 02 20 33.64 +16 01 23.0	| EL: 47.3	| Mag: 16.7	| moon_dis: 46.9	| moon_lum: 99.7
2357 Phereclos (1981 AC)         	| RA, DEC 03 20 00.56 +16 18 30.9	| EL: 39.1	| Mag: 16.8	| moon_dis: 60.7	| moon_lum: 99.7
2223 Sarpedon (1977 TL3)         	| RA, DEC 03 31 43.67 +17 49 03.6	| EL: 36.2	| Mag: 16.8	| moon_dis: 63.8	| moon_lum: 99.7
2363 Cebriones (1977 TJ3)        	| RA, DEC 04 08 10.88 +08 15 42.6	| EL: 35.8	| Mag: 16.8	| moon_dis: 71.0	| moon_lum: 99.7
2674 Pandarus (1982 BC3)         	| RA, DEC 03 04 06.14 +15 58 41.9	| EL: 41.8	| Mag: 17.0	| moon_dis: 56.9	| moon_lum: 99.7
5130 Ilioneus (1989 SC7)         	| RA, DEC 00 34 39.45 +20 18 07.1	| EL: 46.3	| Mag: 17.0	| moon_dis: 28.5	| moon_lum: 99.7
5648 Axius (1990 VU1)            	| RA, DEC 03 54 59.24 +09 18 55.2	| EL: 37.8	| Mag: 17.0	| moon_dis: 67.9	| moon_lum: 99.7
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 56.55 +14 36 11.7	| EL: 52.5	| Mag: 17.0	| moon_dis: 27.0	| moon_lum: 99.7
4722 Agelaos (4271 T-3)          	| RA, DEC 02 43 46.70 +09 51 09.8	| EL: 49.7	| Mag: 17.1	| moon_dis: 50.7	| moon_lum: 99.7
4805 Asteropaios (1990 VH7)      	| RA, DEC 01 39 47.46 +25 10 27.3	| EL: 41.5	| Mag: 17.1	| moon_dis: 42.7	| moon_lum: 99.7
34746 Thoon (2001 QE91)          	| RA, DEC 02 58 30.13 -13 22 36.8	| EL: 61.9	| Mag: 17.3	| moon_dis: 53.4	| moon_lum: 99.7
4832 Palinurus (1988 TU1)        	| RA, DEC 04 01 58.47 -00 30 32.4	| EL: 42.0	| Mag: 17.4	| moon_dis: 68.8	| moon_lum: 99.7
4792 Lykaon (1988 RK1)           	| RA, DEC 02 39 40.73 +09 39 52.2	| EL: 50.4	| Mag: 17.4	| moon_dis: 49.7	| moon_lum: 99.7
2895 Memnon (1981 AE1)           	| RA, DEC 03 22 37.83 -12 53 30.8	| EL: 56.2	| Mag: 17.4	| moon_dis: 59.2	| moon_lum: 99.7
15502 Hypeirochus (1999 NV27)    	| RA, DEC 01 43 46.38 +31 11 42.0	| EL: 35.4	| Mag: 17.5	| moon_dis: 47.1	| moon_lum: 99.7
12444 Prothoon (1996 GE19)       	| RA, DEC 02 26 56.17 +16 13 29.8	| EL: 46.4	| Mag: 17.5	| moon_dis: 48.4	| moon_lum: 99.7
3240 Laocoon (1978 VG6)          	| RA, DEC 02 49 01.48 +18 58 43.3	| EL: 41.4	| Mag: 17.7	| moon_dis: 54.3	| moon_lum: 99.7
12929 Periboea (1999 TZ1)        	| RA, DEC 03 58 37.74 -03 40 28.8	| EL: 44.2	| Mag: 17.7	| moon_dis: 67.9	| moon_lum: 99.7
4754 Panthoos (5010 T-3)         	| RA, DEC 03 50 12.69 +07 08 23.4	| EL: 40.1	| Mag: 17.8	| moon_dis: 66.5	| moon_lum: 99.7
17365 Thymbraeus (1978 VF11)     	| RA, DEC 02 41 23.65 +24 07 21.2	| EL: 37.8	| Mag: 17.8	| moon_dis: 54.4	| moon_lum: 99.7
1873 Agenor (1971 FH)            	| RA, DEC 01 38 49.08 +09 22 46.1	| EL: 57.0	| Mag: 17.9	| moon_dis: 35.1	| moon_lum: 99.7
12126 Chersidamas (1999 RM11)    	| RA, DEC 03 25 33.05 +20 33 28.4	| EL: 35.1	| Mag: 17.9	| moon_dis: 63.0	| moon_lum: 99.7
1871 Astyanax (1971 FF)          	| RA, DEC 00 32 58.87 -03 19 18.3	| EL: 69.0	| Mag: 18.2	| moon_dis: 16.6	| moon_lum: 99.7
2060 Chiron (1977 UB)            	| RA, DEC 01 35 58.25 +10 42 17.6	| EL: 55.8	| Mag: 18.4	| moon_dis: 34.9	| moon_lum: 99.7
136199 Eris (2003 UB313)         	| RA, DEC 01 48 52.01 -00 14 21.6	| EL: 65.3	| Mag: 18.6	| moon_dis: 35.6	| moon_lum: 99.7
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 26.31 -04 43 04.5	| EL: 62.4	| Mag: 19.4	| moon_dis: 46.6	| moon_lum: 99.7
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 50.97 +01 54 12.9	| EL: 56.0	| Mag: 19.8	| moon_dis: 4.7	| moon_lum: 99.7
523643 (2010 TY53)               	| RA, DEC 03 38 00.74 -01 28 15.1	| EL: 47.6	| Mag: 19.8	| moon_dis: 62.8	| moon_lum: 99.7
679997 (2023 RB)                 	| RA, DEC 00 15 09.57 -02 10 26.6	| EL: 66.0	| Mag: 19.9	| moon_dis: 12.1	| moon_lum: 99.7
55637 Uni (2002 UX25)            	| RA, DEC 03 41 30.11 +09 28 58.0	| EL: 40.3	| Mag: 20.0	| moon_dis: 64.6	| moon_lum: 99.7


Local Time: 2025-09-08 03:00 -- UTC: 2025-09-08 06:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
617 Patroclus (A906 UL)          	| RA, DEC 03 19 05.71 +16 24 30.3	| EL: 47.1	| Mag: 15.4	| moon_dis: 60.1	| moon_lum: 99.7
1173 Anchises (1930 UB)          	| RA, DEC 01 46 12.20 +19 38 42.8	| EL: 47.4	| Mag: 16.0	| moon_dis: 40.5	| moon_lum: 99.7
2241 Alcathous (1979 WM)         	| RA, DEC 01 26 04.88 +27 58 25.4	| EL: 38.4	| Mag: 16.2	| moon_dis: 41.6	| moon_lum: 99.7
3451 Mentor (1984 HA1)           	| RA, DEC 05 05 08.17 -00 02 34.9	| EL: 41.1	| Mag: 16.4	| moon_dis: 84.3	| moon_lum: 99.7
3317 Paris (1984 KF)             	| RA, DEC 04 21 57.24 -08 25 19.5	| EL: 54.6	| Mag: 16.4	| moon_dis: 73.3	| moon_lum: 99.7
2207 Antenor (1977 QH1)          	| RA, DEC 03 42 25.82 +12 42 24.3	| EL: 47.6	| Mag: 16.5	| moon_dis: 64.9	| moon_lum: 99.7
1208 Troilus (1931 YA)           	| RA, DEC 03 43 42.52 +18 27 05.7	| EL: 42.5	| Mag: 16.5	| moon_dis: 66.3	| moon_lum: 99.7
2893 Peiroos (1975 QD)           	| RA, DEC 03 03 29.02 +00 37 26.2	| EL: 62.9	| Mag: 16.6	| moon_dis: 54.0	| moon_lum: 99.7
4348 Poulydamas (1988 RU)        	| RA, DEC 02 20 33.29 +16 01 19.8	| EL: 51.2	| Mag: 16.7	| moon_dis: 46.5	| moon_lum: 99.7
2357 Phereclos (1981 AC)         	| RA, DEC 03 20 00.56 +16 18 29.7	| EL: 47.1	| Mag: 16.8	| moon_dis: 60.3	| moon_lum: 99.7
2223 Sarpedon (1977 TL3)         	| RA, DEC 03 31 43.81 +17 49 00.0	| EL: 44.5	| Mag: 16.8	| moon_dis: 63.3	| moon_lum: 99.7
2363 Cebriones (1977 TJ3)        	| RA, DEC 04 08 11.23 +08 15 31.6	| EL: 47.1	| Mag: 16.8	| moon_dis: 70.7	| moon_lum: 99.7
2674 Pandarus (1982 BC3)         	| RA, DEC 03 04 06.00 +15 58 40.6	| EL: 48.9	| Mag: 17.0	| moon_dis: 56.5	| moon_lum: 99.7
5130 Ilioneus (1989 SC7)         	| RA, DEC 00 34 38.41 +20 18 02.4	| EL: 41.5	| Mag: 17.0	| moon_dis: 28.0	| moon_lum: 99.7
5648 Axius (1990 VU1)            	| RA, DEC 03 54 59.48 +09 18 56.4	| EL: 48.5	| Mag: 17.0	| moon_dis: 67.5	| moon_lum: 99.7
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 55.54 +14 36 08.4	| EL: 48.3	| Mag: 17.0	| moon_dis: 26.5	| moon_lum: 99.7
4722 Agelaos (4271 T-3)          	| RA, DEC 02 43 46.45 +09 51 08.5	| EL: 56.2	| Mag: 17.1	| moon_dis: 50.3	| moon_lum: 99.7
4805 Asteropaios (1990 VH7)      	| RA, DEC 01 39 46.74 +25 10 28.6	| EL: 41.7	| Mag: 17.1	| moon_dis: 42.2	| moon_lum: 99.7
34746 Thoon (2001 QE91)          	| RA, DEC 02 58 29.85 -13 22 46.8	| EL: 74.6	| Mag: 17.3	| moon_dis: 53.2	| moon_lum: 99.7
4832 Palinurus (1988 TU1)        	| RA, DEC 04 01 58.89 -00 30 41.0	| EL: 54.3	| Mag: 17.4	| moon_dis: 68.5	| moon_lum: 99.7
4792 Lykaon (1988 RK1)           	| RA, DEC 02 39 40.41 +09 39 50.7	| EL: 56.7	| Mag: 17.4	| moon_dis: 49.3	| moon_lum: 99.7
2895 Memnon (1981 AE1)           	| RA, DEC 03 22 37.92 -12 53 44.9	| EL: 69.5	| Mag: 17.4	| moon_dis: 59.0	| moon_lum: 99.7
15502 Hypeirochus (1999 NV27)    	| RA, DEC 01 43 45.59 +31 11 47.0	| EL: 35.9	| Mag: 17.5	| moon_dis: 46.6	| moon_lum: 99.7
12444 Prothoon (1996 GE19)       	| RA, DEC 02 26 55.79 +16 13 21.6	| EL: 50.8	| Mag: 17.5	| moon_dis: 48.0	| moon_lum: 99.7
3240 Laocoon (1978 VG6)          	| RA, DEC 02 49 01.26 +18 58 43.6	| EL: 47.1	| Mag: 17.7	| moon_dis: 53.9	| moon_lum: 99.7
12929 Periboea (1999 TZ1)        	| RA, DEC 03 58 38.03 -03 40 47.2	| EL: 56.9	| Mag: 17.7	| moon_dis: 67.6	| moon_lum: 99.7
4754 Panthoos (5010 T-3)         	| RA, DEC 03 50 12.96 +07 08 17.7	| EL: 50.9	| Mag: 17.8	| moon_dis: 66.1	| moon_lum: 99.7
17365 Thymbraeus (1978 VF11)     	| RA, DEC 02 41 23.45 +24 07 21.7	| EL: 42.5	| Mag: 17.8	| moon_dis: 54.0	| moon_lum: 99.7
1873 Agenor (1971 FH)            	| RA, DEC 01 38 48.42 +09 22 37.4	| EL: 57.2	| Mag: 17.9	| moon_dis: 34.7	| moon_lum: 99.7
12126 Chersidamas (1999 RM11)    	| RA, DEC 03 25 33.05 +20 33 29.7	| EL: 42.7	| Mag: 17.9	| moon_dis: 62.5	| moon_lum: 99.7
11552 Boucolion (1993 BD4)       	| RA, DEC 04 52 01.25 +07 41 57.5	| EL: 39.4	| Mag: 18.0	| moon_dis: 81.4	| moon_lum: 99.7
1871 Astyanax (1971 FF)          	| RA, DEC 00 32 57.85 -03 19 28.1	| EL: 60.2	| Mag: 18.2	| moon_dis: 16.3	| moon_lum: 99.7
2060 Chiron (1977 UB)            	| RA, DEC 01 35 57.94 +10 42 15.7	| EL: 55.8	| Mag: 18.4	| moon_dis: 34.5	| moon_lum: 99.7
136199 Eris (2003 UB313)         	| RA, DEC 01 48 51.94 -00 14 22.1	| EL: 67.2	| Mag: 18.6	| moon_dis: 35.3	| moon_lum: 99.7
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 25.93 -04 43 13.5	| EL: 70.9	| Mag: 19.4	| moon_dis: 46.3	| moon_lum: 99.7
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 50.78 +01 54 11.6	| EL: 44.6	| Mag: 19.8	| moon_dis: 4.4	| moon_lum: 99.7
523643 (2010 TY53)               	| RA, DEC 03 38 00.68 -01 28 16.9	| EL: 59.3	| Mag: 19.8	| moon_dis: 62.5	| moon_lum: 99.7
44594 (1999 OX3)                 	| RA, DEC 03 33 10.96 +20 23 22.5	| EL: 42.1	| Mag: 19.8	| moon_dis: 64.2	| moon_lum: 99.7
679997 (2023 RB)                 	| RA, DEC 00 15 08.97 -02 10 31.2	| EL: 56.1	| Mag: 19.8	| moon_dis: 11.8	| moon_lum: 99.7
55637 Uni (2002 UX25)            	| RA, DEC 03 41 30.07 +09 28 57.0	| EL: 50.4	| Mag: 20.0	| moon_dis: 64.3	| moon_lum: 99.7


Local Time: 2025-09-08 04:00 -- UTC: 2025-09-08 07:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
617 Patroclus (A906 UL)          	| RA, DEC 03 19 05.62 +16 24 35.8	| EL: 50.8	| Mag: 15.4	| moon_dis: 59.6	| moon_lum: 99.7
1173 Anchises (1930 UB)          	| RA, DEC 01 46 11.52 +19 38 42.3	| EL: 43.4	| Mag: 16.0	| moon_dis: 40.0	| moon_lum: 99.7
1172 Aneas (1930 UA)             	| RA, DEC 04 06 56.58 +25 07 20.6	| EL: 40.1	| Mag: 16.1	| moon_dis: 72.4	| moon_lum: 99.7
4709 Ennomos (1988 TU2)          	| RA, DEC 03 53 02.61 +30 55 27.3	| EL: 35.3	| Mag: 16.3	| moon_dis: 70.7	| moon_lum: 99.7
3451 Mentor (1984 HA1)           	| RA, DEC 05 05 08.97 -00 02 45.9	| EL: 53.4	| Mag: 16.4	| moon_dis: 83.9	| moon_lum: 99.7
3317 Paris (1984 KF)             	| RA, DEC 04 21 57.63 -08 25 30.3	| EL: 67.1	| Mag: 16.4	| moon_dis: 73.0	| moon_lum: 99.7
2207 Antenor (1977 QH1)          	| RA, DEC 03 42 26.05 +12 42 21.3	| EL: 53.6	| Mag: 16.5	| moon_dis: 64.5	| moon_lum: 99.7
1208 Troilus (1931 YA)           	| RA, DEC 03 43 42.49 +18 27 13.4	| EL: 47.9	| Mag: 16.5	| moon_dis: 65.8	| moon_lum: 99.7
2893 Peiroos (1975 QD)           	| RA, DEC 03 03 28.86 +00 37 19.6	| EL: 66.7	| Mag: 16.6	| moon_dis: 53.6	| moon_lum: 99.7
884 Priamus (A917 SU)            	| RA, DEC 03 59 26.41 +29 26 26.1	| EL: 36.4	| Mag: 16.7	| moon_dis: 71.7	| moon_lum: 99.7
4348 Poulydamas (1988 RU)        	| RA, DEC 02 20 32.94 +16 01 16.6	| EL: 49.7	| Mag: 16.7	| moon_dis: 46.0	| moon_lum: 99.7
2357 Phereclos (1981 AC)         	| RA, DEC 03 20 00.56 +16 18 28.5	| EL: 50.9	| Mag: 16.8	| moon_dis: 59.8	| moon_lum: 99.7
2223 Sarpedon (1977 TL3)         	| RA, DEC 03 31 43.94 +17 48 56.3	| EL: 49.1	| Mag: 16.8	| moon_dis: 62.9	| moon_lum: 99.7
2363 Cebriones (1977 TJ3)        	| RA, DEC 04 08 11.58 +08 15 20.7	| EL: 55.7	| Mag: 16.8	| moon_dis: 70.3	| moon_lum: 99.7
2674 Pandarus (1982 BC3)         	| RA, DEC 03 04 05.86 +15 58 39.2	| EL: 51.4	| Mag: 17.0	| moon_dis: 56.0	| moon_lum: 99.7
5144 Achates (1991 XX)           	| RA, DEC 03 35 08.38 +29 07 18.1	| EL: 37.8	| Mag: 17.0	| moon_dis: 66.5	| moon_lum: 99.7
5648 Axius (1990 VU1)            	| RA, DEC 03 54 59.71 +09 18 57.7	| EL: 55.9	| Mag: 17.0	| moon_dis: 67.1	| moon_lum: 99.7
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 54.54 +14 36 05.0	| EL: 39.9	| Mag: 17.0	| moon_dis: 26.0	| moon_lum: 99.7
4722 Agelaos (4271 T-3)          	| RA, DEC 02 43 46.21 +09 51 07.1	| EL: 57.0	| Mag: 17.1	| moon_dis: 49.9	| moon_lum: 99.7
4805 Asteropaios (1990 VH7)      	| RA, DEC 01 39 46.02 +25 10 29.9	| EL: 37.7	| Mag: 17.1	| moon_dis: 41.8	| moon_lum: 99.7
34746 Thoon (2001 QE91)          	| RA, DEC 02 58 29.57 -13 22 56.8	| EL: 80.5	| Mag: 17.3	| moon_dis: 52.9	| moon_lum: 99.7
4832 Palinurus (1988 TU1)        	| RA, DEC 04 01 59.30 -00 30 49.6	| EL: 64.1	| Mag: 17.4	| moon_dis: 68.1	| moon_lum: 99.7
4792 Lykaon (1988 RK1)           	| RA, DEC 02 39 40.09 +09 39 49.1	| EL: 57.0	| Mag: 17.4	| moon_dis: 48.8	| moon_lum: 99.7
2895 Memnon (1981 AE1)           	| RA, DEC 03 22 38.01 -12 53 58.9	| EL: 79.6	| Mag: 17.4	| moon_dis: 58.7	| moon_lum: 99.7
12444 Prothoon (1996 GE19)       	| RA, DEC 02 26 55.41 +16 13 13.3	| EL: 49.9	| Mag: 17.5	| moon_dis: 47.5	| moon_lum: 99.7
3240 Laocoon (1978 VG6)          	| RA, DEC 02 49 01.03 +18 58 43.8	| EL: 48.2	| Mag: 17.7	| moon_dis: 53.4	| moon_lum: 99.7
12929 Periboea (1999 TZ1)        	| RA, DEC 03 58 38.32 -03 41 05.6	| EL: 67.3	| Mag: 17.7	| moon_dis: 67.2	| moon_lum: 99.7
4754 Panthoos (5010 T-3)         	| RA, DEC 03 50 13.22 +07 08 11.9	| EL: 58.4	| Mag: 17.8	| moon_dis: 65.7	| moon_lum: 99.7
17365 Thymbraeus (1978 VF11)     	| RA, DEC 02 41 23.25 +24 07 22.1	| EL: 42.8	| Mag: 17.8	| moon_dis: 53.5	| moon_lum: 99.7
1873 Agenor (1971 FH)            	| RA, DEC 01 38 47.76 +09 22 28.6	| EL: 51.4	| Mag: 17.9	| moon_dis: 34.2	| moon_lum: 99.7
12126 Chersidamas (1999 RM11)    	| RA, DEC 03 25 33.05 +20 33 30.9	| EL: 46.6	| Mag: 17.9	| moon_dis: 62.1	| moon_lum: 99.7
11552 Boucolion (1993 BD4)       	| RA, DEC 04 52 01.93 +07 41 52.8	| EL: 50.2	| Mag: 18.0	| moon_dis: 81.0	| moon_lum: 99.7
17492 Hippasos (1991 XG1)        	| RA, DEC 05 19 23.01 +12 15 54.8	| EL: 42.3	| Mag: 18.0	| moon_dis: 88.0	| moon_lum: 99.7
1871 Astyanax (1971 FF)          	| RA, DEC 00 32 56.84 -03 19 37.8	| EL: 48.0	| Mag: 18.2	| moon_dis: 15.9	| moon_lum: 99.7
2060 Chiron (1977 UB)            	| RA, DEC 01 35 57.63 +10 42 13.8	| EL: 49.9	| Mag: 18.4	| moon_dis: 34.0	| moon_lum: 99.7
136199 Eris (2003 UB313)         	| RA, DEC 01 48 51.87 -00 14 22.5	| EL: 60.6	| Mag: 18.6	| moon_dis: 34.9	| moon_lum: 99.7
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 25.55 -04 43 22.5	| EL: 70.3	| Mag: 19.4	| moon_dis: 46.0	| moon_lum: 99.7
229762 G!kun||'homdima (2007 UK1 	| RA, DEC 05 37 03.92 +05 24 58.1	| EL: 43.8	| Mag: 19.7	| moon_dis: 92.1	| moon_lum: 99.7
523643 (2010 TY53)               	| RA, DEC 03 38 00.63 -01 28 18.7	| EL: 67.5	| Mag: 19.8	| moon_dis: 62.1	| moon_lum: 99.7
44594 (1999 OX3)                 	| RA, DEC 03 33 10.91 +20 23 22.4	| EL: 46.5	| Mag: 19.8	| moon_dis: 63.8	| moon_lum: 99.7
679997 (2023 RB)                 	| RA, DEC 00 15 08.38 -02 10 35.8	| EL: 43.6	| Mag: 19.8	| moon_dis: 11.4	| moon_lum: 99.7
55637 Uni (2002 UX25)            	| RA, DEC 03 41 30.03 +09 28 56.1	| EL: 56.8	| Mag: 20.0	| moon_dis: 63.8	| moon_lum: 99.7


Local Time: 2025-09-08 05:00 -- UTC: 2025-09-08 08:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
617 Patroclus (A906 UL)          	| RA, DEC 03 19 05.52 +16 24 41.3	| EL: 49.3	| Mag: 15.4	| moon_dis: 59.1	| moon_lum: 99.6
1173 Anchises (1930 UB)          	| RA, DEC 01 46 10.84 +19 38 41.8	| EL: 35.5	| Mag: 16.0	| moon_dis: 39.5	| moon_lum: 99.6
1172 Aneas (1930 UA)             	| RA, DEC 04 06 56.96 +25 07 20.1	| EL: 42.3	| Mag: 16.1	| moon_dis: 71.9	| moon_lum: 99.6
4709 Ennomos (1988 TU2)          	| RA, DEC 03 53 02.93 +30 55 27.9	| EL: 36.4	| Mag: 16.3	| moon_dis: 70.2	| moon_lum: 99.6
3451 Mentor (1984 HA1)           	| RA, DEC 05 05 09.76 -00 02 56.8	| EL: 63.4	| Mag: 16.4	| moon_dis: 83.5	| moon_lum: 99.6
3317 Paris (1984 KF)             	| RA, DEC 04 21 58.02 -08 25 41.1	| EL: 75.4	| Mag: 16.4	| moon_dis: 72.6	| moon_lum: 99.6
2207 Antenor (1977 QH1)          	| RA, DEC 03 42 26.27 +12 42 18.3	| EL: 54.2	| Mag: 16.5	| moon_dis: 64.0	| moon_lum: 99.6
1208 Troilus (1931 YA)           	| RA, DEC 03 43 42.45 +18 27 21.2	| EL: 48.5	| Mag: 16.5	| moon_dis: 65.3	| moon_lum: 99.6
2893 Peiroos (1975 QD)           	| RA, DEC 03 03 28.69 +00 37 13.0	| EL: 62.1	| Mag: 16.6	| moon_dis: 53.2	| moon_lum: 99.6
884 Priamus (A917 SU)            	| RA, DEC 03 59 26.69 +29 26 30.1	| EL: 37.9	| Mag: 16.7	| moon_dis: 71.2	| moon_lum: 99.6
4348 Poulydamas (1988 RU)        	| RA, DEC 02 20 32.60 +16 01 13.4	| EL: 43.4	| Mag: 16.7	| moon_dis: 45.5	| moon_lum: 99.6
2357 Phereclos (1981 AC)         	| RA, DEC 03 20 00.56 +16 18 27.3	| EL: 49.4	| Mag: 16.8	| moon_dis: 59.3	| moon_lum: 99.6
2223 Sarpedon (1977 TL3)         	| RA, DEC 03 31 44.08 +17 48 52.6	| EL: 48.7	| Mag: 16.8	| moon_dis: 62.4	| moon_lum: 99.6
2363 Cebriones (1977 TJ3)        	| RA, DEC 04 08 11.93 +08 15 09.8	| EL: 59.1	| Mag: 16.8	| moon_dis: 69.8	| moon_lum: 99.6
2674 Pandarus (1982 BC3)         	| RA, DEC 03 04 05.72 +15 58 37.9	| EL: 48.4	| Mag: 17.0	| moon_dis: 55.5	| moon_lum: 99.6
5144 Achates (1991 XX)           	| RA, DEC 03 35 08.43 +29 07 22.9	| EL: 37.7	| Mag: 17.0	| moon_dis: 66.0	| moon_lum: 99.6
5648 Axius (1990 VU1)            	| RA, DEC 03 54 59.93 +09 18 58.9	| EL: 57.9	| Mag: 17.0	| moon_dis: 66.7	| moon_lum: 99.6
4722 Agelaos (4271 T-3)          	| RA, DEC 02 43 45.96 +09 51 05.7	| EL: 51.7	| Mag: 17.1	| moon_dis: 49.4	| moon_lum: 99.6
34746 Thoon (2001 QE91)          	| RA, DEC 02 58 29.29 -13 23 06.7	| EL: 71.3	| Mag: 17.3	| moon_dis: 52.6	| moon_lum: 99.6
4832 Palinurus (1988 TU1)        	| RA, DEC 04 01 59.71 -00 30 58.3	| EL: 67.9	| Mag: 17.4	| moon_dis: 67.7	| moon_lum: 99.6
4792 Lykaon (1988 RK1)           	| RA, DEC 02 39 39.76 +09 39 47.5	| EL: 51.3	| Mag: 17.4	| moon_dis: 48.3	| moon_lum: 99.6
2895 Memnon (1981 AE1)           	| RA, DEC 03 22 38.09 -12 54 12.9	| EL: 75.6	| Mag: 17.4	| moon_dis: 58.3	| moon_lum: 99.6
12444 Prothoon (1996 GE19)       	| RA, DEC 02 26 55.02 +16 13 04.9	| EL: 44.1	| Mag: 17.5	| moon_dis: 47.0	| moon_lum: 99.6
3240 Laocoon (1978 VG6)          	| RA, DEC 02 49 00.81 +18 58 44.1	| EL: 44.2	| Mag: 17.7	| moon_dis: 52.9	| moon_lum: 99.6
12929 Periboea (1999 TZ1)        	| RA, DEC 03 58 38.60 -03 41 24.1	| EL: 71.0	| Mag: 17.7	| moon_dis: 66.8	| moon_lum: 99.6
4754 Panthoos (5010 T-3)         	| RA, DEC 03 50 13.49 +07 08 06.1	| EL: 60.0	| Mag: 17.8	| moon_dis: 65.3	| moon_lum: 99.6
17365 Thymbraeus (1978 VF11)     	| RA, DEC 02 41 23.04 +24 07 22.4	| EL: 38.8	| Mag: 17.8	| moon_dis: 53.0	| moon_lum: 99.6
1873 Agenor (1971 FH)            	| RA, DEC 01 38 47.11 +09 22 19.9	| EL: 41.6	| Mag: 17.9	| moon_dis: 33.7	| moon_lum: 99.6
12126 Chersidamas (1999 RM11)    	| RA, DEC 03 25 33.05 +20 33 32.1	| EL: 45.7	| Mag: 17.9	| moon_dis: 61.6	| moon_lum: 99.6
11552 Boucolion (1993 BD4)       	| RA, DEC 04 52 02.60 +07 41 48.2	| EL: 57.8	| Mag: 18.0	| moon_dis: 80.6	| moon_lum: 99.6
17492 Hippasos (1991 XG1)        	| RA, DEC 05 19 23.77 +12 15 56.3	| EL: 50.9	| Mag: 18.0	| moon_dis: 87.5	| moon_lum: 99.6
2060 Chiron (1977 UB)            	| RA, DEC 01 35 57.32 +10 42 12.0	| EL: 40.2	| Mag: 18.4	| moon_dis: 33.5	| moon_lum: 99.6
136199 Eris (2003 UB313)         	| RA, DEC 01 48 51.80 -00 14 23.0	| EL: 49.6	| Mag: 18.6	| moon_dis: 34.5	| moon_lum: 99.6
306173 (2010 NK83)               	| RA, DEC 06 33 04.55 +18 19 43.0	| EL: 35.7	| Mag: 18.8	| moon_dis: 105.3	| moon_lum: 99.6
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 25.17 -04 43 31.5	| EL: 61.1	| Mag: 19.4	| moon_dis: 45.6	| moon_lum: 99.6
229762 G!kun||'homdima (2007 UK1 	| RA, DEC 05 37 04.00 +05 24 57.2	| EL: 54.4	| Mag: 19.7	| moon_dis: 91.7	| moon_lum: 99.6
523643 (2010 TY53)               	| RA, DEC 03 38 00.57 -01 28 20.5	| EL: 67.7	| Mag: 19.8	| moon_dis: 61.7	| moon_lum: 99.6
44594 (1999 OX3)                 	| RA, DEC 03 33 10.87 +20 23 22.4	| EL: 46.2	| Mag: 19.8	| moon_dis: 63.3	| moon_lum: 99.6
55637 Uni (2002 UX25)            	| RA, DEC 03 41 29.99 +09 28 55.2	| EL: 57.3	| Mag: 20.0	| moon_dis: 63.4	| moon_lum: 99.6


Local Time: 2025-09-08 06:00 -- UTC: 2025-09-08 09:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
